Arc ID,FROM cell ,TO cell 
1,7,8
2,8,9
3,9,10
4,10,11
5,11,17
6,11,12
7,16,12
8,12,13
9,13,14
10,13,15
11,17,18
12,19,16
13,18,20
14,18,46
15,18,28
16,20,21
17,21,22
18,22,23
19,23,7
20,24,25
21,25,26
22,26,27
23,27,46
24,27,28
25,27,19
26,28,30
27,30,32
28,15,31
29,15,32
30,31,29
31,29,19
32,29,20
33,29,46
34,48,49
35,49,28
36,49,19
37,49,20
38,50,69
39,50,61
40,61,60
41,60,59
42,59,58
43,58,57
44,57,96
45,57,48
46,46,47
47,47,56
48,56,55
49,55,54
50,54,53
51,53,52
52,52,51
53,52,69
54,69,68
55,68,67
56,67,66
57,66,78
58,66,77
59,77,76
60,76,75
61,75,74
62,74,94
63,94,95
64,95,48
65,95,56
66,96,97
67,97,73
68,73,72
69,72,71
70,71,70
71,70,65
72,65,64
73,64,63
74,63,62
75,62,61
76,62,51
77,74,90
78,90,91
79,92,93
80,93,73
81,93,94
82,78,79
83,79,80
84,80,81
85,82,83
86,83,84
87,84,85
88,85,77
89,85,65
90,81,114
91,81,113
92,81,88
93,113,111
94,111,108
95,108,106
96,106,105
97,105,102
98,88,89
99,89,103
100,103,104
101,104,107
102,107,109
103,109,110
104,110,112
105,112,88
106,112,114
107,112,82
108,91,87
109,87,86
110,91,103
111,91,99
112,99,100
113,101,98
114,98,87
115,98,103
116,98,92
117,102,99
118,102,92
119,102,87
120,32,33
121,33,34
122,34,35
123,35,101
124,35,36
125,100,36
126,37,38
127,39,40
128,40,41
129,40,42
130,42,43
131,43,44
132,44,45
133,114,115
134,115,116
135,116,117
136,86,82
137,86,114
138,86,113
139,1,18
140,1,19
141,1,28
142,1,29
143,2,49
144,2,46
145,2,29
146,2,28
147,3,59
148,3,54
149,4,74
150,4,73
151,4,94
152,4,97
153,5,110
154,5,111
155,6,104
156,6,105
157,36,118
158,118,37
159,118,39
160,51,119
161,119,24
162,119,7
163,23,120
164,120,50
165,47,96
166,70,78
167,89,99
168,89,92
169,97,90
170,47,96
