Cell ID,Qi,Ni,Delta i,X_0,cell type 
1,9999,9999,1,0,source
2,9999,9999,1,0,source
3,9999,9999,1,0,source
4,9999,9999,1,0,source
5,9999,9999,1,0,source
6,9999,9999,1,0,source
7,11,43,1,0,Ordinary 
8,11,43,1,0,Ordinary 
9,11,43,1,0,Ordinary 
10,11,43,1,0,Ordinary 
11,11,43,1,0,Diverge
12,11,35,1,0,Merge
13,11,17,1,0,Diverge
14,99999,99999,1,0,Sink
15,11,43,1,0,Diverge
16,6,17,1,0,Ordinary 
17,6,17,1,0,Ordinary 
18,11,52,1,0,Diverge
19,6,17,1,0,Merge
20,6,17,1,0,Merge
21,6,17,1,0,Ordinary 
22,6,17,1,0,Ordinary 
23,6,17,1,0,Diverge
24,6,17,1,0,Ordinary 
25,11,52,1,0,Ordinary 
26,11,52,1,0,Ordinary 
27,6,17,1,0,Diverge
28,6,17,1,0,Merge
29,6,17,1,0,Diverge
30,6,17,1,0,Ordinary 
31,6,17,1,0,Ordinary 
32,6,17,1,0,Merge
33,6,17,1,0,Ordinary 
34,6,17,1,0,Ordinary 
35,11,52,1,0,Diverge
36,11,52,1,0,Merge
37,13,17,1,0,Ordinary 
38,99999,99999,1,0,Sink
39,11,17,1,0,Ordinary 
40,11,17,1,0,Diverge
41,100,99999,1,0,Sink
42,11,17,1,0,Ordinary 
43,11,17,1,0,Ordinary 
44,11,17,1,0,Ordinary 
45,99999,99999,1,0,Sink
46,6,17,1,0,Merge
47,6,17,1,0,Diverge
48,6,17,1,0,Merge
49,6,17,1,0,Diverge
50,6,17,1,0,Diverge
51,6,17,1,0,Merge
52,6,17,1,0,Diverge
53,6,17,1,0,Ordinary 
54,6,17,1,0,Ordinary 
55,6,17,1,0,Ordinary 
56,6,17,1,0,Merge
57,11,52,1,0,Diverge
58,11,52,1,0,Ordinary 
59,11,52,1,0,Ordinary 
60,11,43,1,0,Ordinary 
61,11,43,1,0,Merge
62,11,43,1,0,Diverge
63,11,43,1,0,Ordinary 
64,11,43,1,0,Ordinary 
65,6,17,1,0,Merge
66,6,17,1,0,Diverge
67,6,17,1,0,Ordinary 
68,6,17,1,0,Ordinary 
69,6,17,1,0,Merge
70,6,17,1,0,Diverge
71,6,17,1,0,Ordinary 
72,6,17,1,0,Ordinary 
73,6,17,1,0,Merge
74,6,17,1,0,Diverge
75,6,17,1,0,Ordinary 
76,6,17,1,0,Ordinary 
77,6,17,1,0,Merge
78,6,17,1,0,Diverge
79,6,17,1,0,Ordinary 
80,6,17,1,0,Ordinary 
81,6,17,1,0,Diverge
82,6,17,1,0,Merge
83,6,17,1,0,Ordinary 
84,6,17,1,0,Ordinary 
85,6,17,1,0,Diverge
86,6,17,1,0,Diverge
87,6,17,1,0,Merge
88,6,17,1,0,Merge
89,6,17,1,0,Diverge
90,6,17,1,0,Merge
91,6,17,1,0,Diverge
92,6,17,1,0,Merge
93,6,17,1,0,Diverge
94,6,17,1,0,Merge
95,6,17,1,0,Diverge
96,6,17,1,0,Merge
97,6,17,1,0,Diverge
98,6,17,1,0,Diverge
99,6,17,1,0,Merge
100,6,17,1,0,Ordinary 
101,6,17,1,0,Ordinary 
102,6,17,1,0,Diverge
103,6,17,1,0,Merge
104,6,17,1,0,Ordinary 
105,6,17,1,0,Ordinary 
106,6,17,1,0,Ordinary 
107,6,17,1,0,Ordinary 
108,6,17,1,0,Ordinary 
109,6,17,1,0,Ordinary 
110,6,17,1,0,Ordinary 
111,6,17,1,0,Ordinary 
112,6,17,1,0,Diverge
113,6,17,1,0,Merge
114,13,17,1,0,Merge
115,13,17,1,0,Ordinary 
116,13,17,1,0,Ordinary 
117,99999,99999,1,0,Sink
118,11,26,1,0,Diverge
119,6,17,1,0,Diverge
120,6,17,1,0,Ordinary 
